2022-04-04T05-38-24,02780,CVS Store #05402,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,Walgreens Store #12399,NLP,NLP,NLP,59,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,02780,CVS Store #16547,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,Walgreens Store #12399,NLP,NLP,NLP,49,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,CVS Store #00041,NLP,NLP,NLP,13,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,CVS Store #05402,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,02780,CVS Store #01041,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,02780,CVS Store #00041,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,CVS Store #16547,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,Walgreens Store #12399,NLP,NLP,NLP,49,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,CVS Store #01041,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,02780,CVS Store #05402,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,02780,CVS Store #01041,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,Walgreens Store #12399,NLP,NLP,NLP,49,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,CVS Store #16547,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,CVS Store #00041,NLP,NLP,NLP,11,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,CVS Store #05402,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,02780,CVS Store #01041,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,Walgreens Store #12399,NLP,NLP,NLP,49,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,CVS Store #16547,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,CVS Store #05402,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,02780,CVS Store #00041,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,02780,CVS Store #01041,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,CVS Store #16547,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,CVS Store #00041,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,02780,CVS Store #05402,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,CVS Store #01041,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,02780,CVS Store #16547,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,CVS Store #00041,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02780,CVS Store #05402,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,CVS Store #16547,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,02780,CVS Store #05402,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,CVS Store #01041,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02780,CVS Store #00041,NLP,NLP,NLP,9,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,02780,CVS Store #16547,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,02780,CVS Store #00041,NLP,NLP,NLP,7,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/11/2022 12:00:00 AM
