2022-04-29T05-13-54,34655,CVS Store #03703,NLP,NLP,NLP,27,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,34655,CVS Store #17083,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,34655,CVS Store #04226,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,34655,Walmart Pharmacy #994,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,34655,CVS Store #03703,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34655,CVS Store #17083,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34655,Walmart Pharmacy #994,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34655,CVS Store #04226,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34655,CVS Store #03703,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34655,CVS Store #17083,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34655,CVS Store #03703,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34655,Walmart Pharmacy #994,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34655,CVS Store #04226,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,34655,Little Road Pharmacy,NLP,NLP,NLP,79,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,34655,CVS Store #17083,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,34655,CVS Store #04226,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,34655,CVS Store #03703,NLP,NLP,NLP,23,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,34655,Walmart Pharmacy #994,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,34655,CVS Store #17083,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,34655,Little Road Pharmacy,NLP,NLP,NLP,79,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,34655,CVS Store #04226,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,34655,CVS Store #03703,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,34655,Walmart Pharmacy #994,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,79,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,34655,CVS Store #17083,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,34655,CVS Store #04226,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,34655,CVS Store #03703,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,34655,Walmart Pharmacy #994,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,79,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,34655,CVS Store #17083,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,34655,CVS Store #04226,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,34655,Walgreens Store #05415,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,34655,CVS Store #03703,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,34655,CVS Store #04226,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,34655,CVS Store #17083,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,34655,Walgreens Store #05415,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,34655,CVS Store #03703,NLP,NLP,NLP,34,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,34655,CVS Store #17083,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,34655,CVS Store #04226,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,34655,Walgreens Store #05415,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,34655,CVS Store #03703,NLP,NLP,NLP,34,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,34655,CVS Store #04226,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,34655,CVS Store #17083,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,34655,CVS Store #03703,NLP,NLP,NLP,34,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,34655,Walgreens Store #05415,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,34655,CVS Store #17083,NLP,NLP,NLP,19,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,78,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,34655,CVS Store #04226,NLP,NLP,NLP,18,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,34655,Walgreens Store #05415,NLP,NLP,NLP,18,05/05/2022 12:00:00 AM
