2022-05-24T05-46-03,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
