2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,25,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,25,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,25,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,23,05/26/2022 12:00:00 AM
