2022-06-17T04-15-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-18T04-15-18,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-19T04-15-29,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-20T04-15-58,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-21T04-15-35,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-22T04-15-20,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-23T04-15-16,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-24T04-15-26,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-25T04-15-18,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-26T04-15-17,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-27T04-15-31,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-28T04-15-44,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-29T04-15-40,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-30T04-15-32,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-07-01T04-15-22,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-07-03T14-40-38,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-07-04T04-15-29,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-07-05T04-15-18,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-07-06T04-15-19,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-07-07T04-15-17,40403,ST JOSEPH BEREA,NLP,NLP,NLP,17,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,40403,ST JOSEPH BEREA,NLP,NLP,NLP,17,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,40403,ST JOSEPH BEREA,NLP,NLP,NLP,17,07/06/2022 12:00:00 AM
