facility_id,provider_name,grantee_code,provider_pin,state_provider_pin,npi,address1,address2,city,state,zip,molnupiravir_courses_shipped,paxlovid_courses_shipped,total_courses_shipped,geopoint
245734408760714750123188710377096104807,CVS Store #08852,CV1,008852,,1750327813,4235 PACIFIC COAST HIGHWAY,CVS Pharmacy,TORRANCE,CA,90505,0,20,20,POINT (-118.35848 33.80871)
245734408767620134404827472223017782119,CVS Store #02061,CV1,002061,,1164526919,1797 DUTCH BROADWAY,CVS Pharmacy,ELMONT,NY,11003,24,20,44,POINT (-73.709425 40.68961)
245734408762148536145251660578297629543,CVS Store #09606,CV1,009606,,1790727048,29610 RANCHO CALIFORNIA RD,CVS Pharmacy,TEMECULA,CA,92591,0,20,20,POINT (-117.14733 33.5058)
245734408765388457341818866766510181223,CVS Store #16691,CV1,016691,,1790708089,111 PIONEER TRL,CVS Pharmacy,CHASKA,MN,55318,0,20,20,POINT (-93.60111 44.82785)
242515351452401480664538509827893800884,CVS Store #00212,CV1,000212,,1962506758,681 RESERVOIR AVENUE,CVS Pharmacy,CRANSTON,RI,02910,24,20,44,POINT (-71.442935 41.780965)
245734408768036004886774904659116706663,CVS Store #01537,CV1,001537,,1083712657,"5001 W. BROAD ST.,",CVS Pharmacy,RICHMOND,VA,23230,24,20,44,POINT (-77.4979 37.58412)
242510027581406732927558356003476631432,Walgreens Store #05581,WG1,005581,,1619982873,6314 N 9TH AVE,,PENSACOLA,FL,32504,0,20,20,POINT (-87.196189 30.488385)
245734408764264156329577261634033437543,CVS Store #16947,CV1,016947,,1073535878,7900 OLD WAKE FOREST RD,CVS Pharmacy,RALEIGH,NC,27616,24,20,44,POINT (-78.56814 35.86627)
245734408775195263590532738631726680935,CVS Store #05026,CV1,005026,,1982709721,1212 S. GREENFIELD RD.,CVS Pharmacy,MESA,AZ,85206,240,380,620,POINT (-111.737227 33.3931)
245734408771379893703828968956353989479,CVS Store #02582,CV1,002582,,1407950280,795 BALTIMORE PIKE,CVS Pharmacy,SPRINGFIELD,PA,19064,0,20,20,POINT (-75.33269 39.916625)
245734408777879078910077215399574391655,CVS Store #06149,CV1,006149,,1790888402,1885 WEST HENDERSON ROAD,CVS Pharmacy,UPPER ARLINGTON,OH,43220,0,20,20,POINT (-83.06958 40.054435)
242510027567762796127387651137742729096,Walgreens Store #11271,WG1,011271,,1902089667,2525 W ANDERSON LN,BLDG 2,AUSTIN,TX,78757,464,40,504,POINT (-97.73379 30.35621)
245734408776201089872452110105082219367,CVS Store #05869,CV1,005869,,1760589261,1413 OATS DR.,CVS Pharmacy,MESQUITE,TX,75150,0,20,20,POINT (-96.624597 32.842345)
242515351454679096908692471193040236468,CVS Store #10659,CV1,010659,,1134661523,33520 21ST AVE. SW,CVS Pharmacy,FEDERAL WAY,WA,98023,20,20,40,POINT (-122.36022 47.301135)
242515351454647664837382490834497875892,CVS Store #07242,CV1,007242,,1760789473,"4201 MONTANO RD., NW",CVS Pharmacy,ALBUQUERQUE,NM,87120,0,20,20,POINT (-106.68652 35.15037)
242510027570574757583811278598109294472,Walgreens Store #06569,WG1,006569,WIA778356,1174538243,464 CARDINAL LN,,GREEN BAY,WI,54313,24,20,44,POINT (-88.08422 44.553865)
