Facility ID,Provider Name,Grantee Code,Provider Pin,State Provider Pin,NPI,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Provider Status,Provider Note,Geopoint
245734408760695407310074876310300805991,CVS Store #08843,CV1,008843,,1811933971,921 PACIFIC COAST HWY.,CVS Pharmacy,SEAL BEACH,CA,90740,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-118.10178 33.74466)
245734408778205488881373165276745059175,CVS Store #06746,CV1,006746,,1831293653,1514 N ALEXANDER,CVS Pharmacy,BAYTOWN,TX,77520,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-94.953285 29.739265)
278573684189118984522672785635150549316,METRO INFECTIOUS DISEASE CONSULT,ILA,None,ILAV09119,1376539692,901 MCCLINTOCK DR STE 201,,BURR RIDGE,IL,60527-0872,03/18/2022 12:00:00 AM,,,ACTIVE,,POINT (-87.90863 41.75484)
245734408763775750298452951447452142439,CVS Store #09813,CV1,009813,,1700828522,98-1005 MOANALUA RD #400,CVS Pharmacy,AIEA,HI,96701,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-157.94108 21.38392)
242515351453206625260401852858248114100,CVS Store #05156,CV1,005156,,1891874772,18351 W. 119TH ST.,CVS Pharmacy,OLATHE,KS,66061,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-94.79801 38.91218)
245734408760647050277290291143312558951,CVS Store #07790,CV1,007790,,1720182546,947 CINCINNATI BATAVIA PIKE,CVS Pharmacy,CINCINNATI,OH,45245,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-84.26321 39.10042)
242515351454147169548062034356169519028,CVS Store #10150,CV1,010150,,1659715340,28635 N. NORTH VALLEY PARKWAY,CVS Pharmacy,PHOENIX,AZ,85085,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-112.106789 33.74172)
278564857982212887993093408502806352599,MidMIchigan Medical Center,MIA,None,MIA657001,None,4000 Wellness Drive,,MIDLAND,MI,48670,03/25/2022 12:00:00 AM,,,ACTIVE,,POINT (-84.26123 43.63541)
245734408769600354897356234811186498407,CVS Store #01399,CV1,001399,,1689778342,3053 NUTLEY STREET,CVS Pharmacy,FAIRFAX,VA,22031,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-77.26124 38.87096)
245734408764629251927100879644794702695,CVS Store #11059,CV1,011059,,1144873563,1619 BROADWAY,CVS Pharmacy,NEW YORK,NY,10019,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-73.91434 40.685112)
245734408760738928639581002960590228327,CVS Store #09317,CV1,009317,,1255373072,590 FARRINGTON HWY UNIT 300,CVS Pharmacy,KAPOLEI,HI,96707,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-158.08174 21.33691)
245734408764073146050078150224429861735,CVS Store #10252,CV1,010252,,1194126995,1411 VERMILLION,CVS Pharmacy,HASTINGS,MN,55033,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-92.851805 44.73179)
245734408761188649044477645013580925799,CVS Store #09479,CV1,009479,,1366487266,2510 EL CAMINO REAL,CVS Pharmacy,CARLSBAD,CA,92008,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-117.32672 33.18015)
250263096497415418256139700712036290776,Norristown Regional Health Center,HR2,000601,,1679776926,1401 DeKalb Pike,,Norristown,PA,19401,03/21/2022 12:00:00 AM,https://dvch.org,610-278-7787,ACTIVE,,POINT (-75.333841 40.123645)
245551428034936546953995297495808907807,DILLON PHARMACY 61500083,KG1,615083,,1114968591,1624 N ROCK ROAD,,DERBY,KS,67037,03/25/2022 12:00:00 AM,https://www.kroger.com/health/clinic,,ACTIVE,,POINT (-97.241561 37.56356)
245551428031476601258258228797799832095,KROGER PHARMACY 01600549,KG1,016549,,1124052832,1501 W 5TH ST,,MARYSVILLE,OH,43040,03/25/2022 12:00:00 AM,https://www.kroger.com/health/clinic,,ACTIVE,,POINT (-83.3952 40.24079)
242510027571326709443611577944776535944,Walgreens Store #06026,WG1,006026,AZAC20068,1174538425,3624 N POWER RD,,MESA,AZ,85215,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-111.684732 33.481385)
245734408761345809401027546806292728679,CVS Store #07952,CV1,007952,,1386819316,630 EXETER ST.,CVS Pharmacy,BALTIMORE,MD,21202,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-76.60043 39.28384)
246380479532076817802039569286471255703,FAMILY PHARMACY,CP1,421462,,1790772598,333 NEWBERRY ST NW,,AIKEN,SC,29801,03/25/2022 12:00:00 AM,,,ACTIVE,,POINT (-81.71877 33.56605)
245734408777361658659282154112800148327,CVS Store #05550,CV1,005550,,1780787457,4724 CHARLOTTE HWY.,CVS Pharmacy,CLOVER,SC,29710,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-81.06448 35.11578)
245734408768589692912158404821132135271,CVS Store #00447,CV1,000447,,1649379090,366 KING ST.,CVS Pharmacy,NORTHAMPTON,MA,01060,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-72.637525 42.33653)
